file_name,url,file_size,modification_date,author,subject,keywords,creation_date,producer,number_of_pages,version,source
Spanish-Vegan-gluten-free-bakery-in-Salt-Lake-City-approved-for-economic-development-loan-to-continue-operations.pdf,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2025/01/Spanish-Vegan-gluten-free-bakery-in-Salt-Lake-City-approved-for-economic-development-loan-to-continue-operations.pdf,85.2KB,2025-01-22 19:10:08+00:00,,,,2025-01-22 19:10:08+00:00,macOS Version 15.1 (Build 24B83) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2025/01/22/vegan-gluten-free-bakery-in-salt-lake-city-approved-for-economic-development-loan-to-continue-operations/
2024_Mtg_Schedule.pdf,https://www.slcdocs.com/council/2024_Mtg_Schedule.pdf,152.0KB,2024-07-10 11:06:19-06:00,,,,2024-07-09 17:55:54-06:00,Adobe PDF Library 24.2.159,3,%PDF-1.6,https://www.slc.gov/blog/2024/01/10/2024-council-leadership/
Spanish_EDLF Loan approved for Shades of Pale Inc to help build new Salt Lake City location,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/08/Spanish_EDLF-Loan-approved-for-Shades-of-Pale-Inc-to-help-build-new-Salt-Lake-City-location.pdf,106.9KB,2024-08-05 19:58:08+00:00,"Detrick, Ashley",,,2024-08-05 19:58:08+00:00,macOS Version 14.5 (Build 23F79) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2024/08/05/edlf-loan-approved-for-shades-of-pale-inc-to-help-build-new-salt-lake-city-location/
Spanish_Salt-Lake-City-opens-more-funding-for-communitys-Arts-Culture-and-Entertainment-ACE-events-in-2025.pdf,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/10/Spanish_Salt-Lake-City-opens-more-funding-for-communitys-Arts-Culture-and-Entertainment-ACE-events-in-2025.pdf,71.3KB,2024-10-01 17:21:35+00:00,,,,2024-10-01 17:21:35+00:00,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2024/10/01/salt-lake-city-opens-more-funding-for-communitys-arts-culture-and-entertainment-ace-events-in-2025/
16-273-amicus-brief.pdf,https://slcmayorblogdotcom.files.wordpress.com/2017/03/16-273-amicus-brief.pdf,194.6KB,2017-03-02 09:03:56-08:00,,,,2017-03-02 10:30:35-06:00,Acrobat Distiller 10.1.16 (Windows),55,%PDF-1.6,https://www.slc.gov/blog/2017/03/02/salt-lake-city-joins-31-jurisdictions-in-scotus-amicus-brief-supporting-transgender-students-and-title-ix/
Spanish_ $3.25M resident wealth-building housing pilot program launching in Salt Lake City,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/11/Spanish_-3.25M-resident-wealth-building-housing-pilot-program-launching-in-Salt-Lake-City.pdf,103.7KB,2024-11-12 23:30:12+00:00,"Detrick, Ashley",,,2024-11-12 23:30:12+00:00,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2024/11/12/3-25m-resident-wealth-building-housing-pilot-program-launching-in-salt-lake-city/
PrensaTipologias.pdf,http://www.slc.gov/wp-content/uploads/2020/06/PrensaTipologias.pdf,103.9KB,2020-06-18 22:38:37+00:00,"Bier, David",,,2020-06-18 22:38:37+00:00,,2,%PDF-1.7,https://www.slc.gov/blog/2020/06/18/salt-lake-city-invites-the-public-to-review-draft-of-new-street-typologies/
Microsoft Word - Press_Release_01252023_Spanish.docx,http://www.slc.gov/wp-content/uploads/2023/01/PR-01252023_Spanish.pdf,151.1KB,2023-01-26 18:10:56+00:00,,,,2023-01-26 18:10:56+00:00,macOS Version 12.4 (Build 21F79) Quartz PDFContext,3,%PDF-1.3,https://www.slc.gov/blog/2023/01/24/mayor-mendenhall-announces-historic-100-million-investment-in-ballpark-neighborhood-bold-goals-for-water-conservation-during-fourth-state-of-the-city-address/
Microsoft Word - 2023 State of the City Address (1)[54].docx,http://www.slc.gov/wp-content/uploads/2023/01/2023-State-of-the-City-Address-.pdf,127.6KB,2023-01-25 19:33:02+00:00,,,,2023-01-25 19:33:02+00:00,macOS Version 12.4 (Build 21F79) Quartz PDFContext,15,%PDF-1.3,https://www.slc.gov/blog/2023/01/24/mayor-mendenhall-announces-historic-100-million-investment-in-ballpark-neighborhood-bold-goals-for-water-conservation-during-fourth-state-of-the-city-address/
Microsoft Word - SOTC for Translation - Google Docs.doc SPA.docx,https://www.slc.gov/wp-content/uploads/2023/01/SOTC-espanol.pdf,117.3KB,2023-01-25 19:14:55+00:00,,,,2023-01-25 19:14:55+00:00,macOS Version 12.4 (Build 21F79) Quartz PDFContext,17,%PDF-1.3,https://www.slc.gov/blog/2023/01/24/mayor-mendenhall-announces-historic-100-million-investment-in-ballpark-neighborhood-bold-goals-for-water-conservation-during-fourth-state-of-the-city-address/
